,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
74,005610,033530,009190,001820,025860,002990,003850,017040,000430,017670,005010,024900,004020,010060,007340,005950,007810,001380,005490,021240,006280,006650,005390,001250,001360,033920,017550,009470,002600,007980
75,005610,033530,009190,001820,025860,002990,000430,024900,004020,010060,007810,001380,005490,006650,005390,001250,033920,009470,015760,003410,007700,029460,000230,004490,026890,003920,004700,004360,006890,006370
76,005610,033530,025860,002990,024900,001380,005490,005390,001250,033920,009470,015760,003410,007700,000230,004490,026890,003920,004700,006370,003230,007340,000070,004710,005950,011760,015890,004980,017550,003650
77,005610,033530,024900,001380,005490,033920,009470,015760,003410,007700,000230,026890,003920,004700,006370,003230,000070,004710,005950,004980,017550,003650,033780,017670,030200,012630,029460,033180,009580,006890
78,005610,033530,024900,001380,009470,015760,003410,007700,003920,003230,000070,004710,005950,004980,017550,012630,029460,033180,009580,006890,010120,000150,004490,017810,002990,016800,005390,003160,011300,008870
79,005610,033530,001380,009470,007700,003920,003230,000070,004710,005950,017550,009580,006890,000150,017810,005390,003160,011300,009540,009830,008770,000210,014680,001440,001390,005090,011000,004700,015230,005960
80,005610,001380,007700,000070,004710,005950,017550,009580,006890,000150,005390,011300,009830,014680,001440,001390,011000,015230,005960,015760,003410,010120,002350,000230,026890,002990,017390,010600,004250,035000
81,005610,007700,004710,005950,017550,009580,006890,000150,005390,014680,001440,005960,003410,002350,000230,002990,017390,004020,000210,017800,003230,011810,003920,004980,012170,033530,011690,033920,000520,009310
82,005610,007700,004710,005950,017550,009580,006890,000150,005390,001440,002350,000230,017390,017800,003230,011810,004980,012170,033530,011690,033920,009310,015760,012630,025860,000430,010600,011300,005430,009470
83,005610,007700,004710,005950,017550,009580,006890,000150,002350,000230,017390,003230,004980,033530,011690,033920,015760,012630,025860,010600,011300,005430,003550,021240,000210,009420,006650,005720,007160,005960
84,005610,007700,004710,009580,006890,000150,002350,017390,003230,033530,011690,033920,015760,010600,005430,000210,009420,006650,007160,005490,014680,002620,000670,002240,033240,005390,000860,015230,010820,002780
85,005610,006890,000150,002350,017390,003230,010600,005430,000210,006650,014680,002240,033240,015230,000270,030200,001040,001440,019170,020560,029460,005880,005090,005950,005720,002170,035000,000500,005960,017550
86,005610,006890,000150,002350,017390,003230,010600,005430,014680,002240,033240,015230,000270,030200,029460,005090,005950,005720,002170,035000,000500,005960,006360,001530,004250,000390,008700,009180,000520,000300
87,006890,002350,017390,003230,014680,015230,000270,030200,005090,005950,005720,000500,005960,000520,000300,001800,000720,000210,016380,001440,019170,003240,005180,034120,000430,003920,006840,000860,033530,002780
88,006890,002350,017390,003230,014680,015230,030200,005950,005720,005960,000520,000300,000210,001440,003240,000430,006840,002780,007700,002710,001530,002990,016800,029530,010600,010820,011690,035000,005430,004830
89,006890,002350,017390,003230,014680,015230,005720,005960,000520,001440,000430,006840,007700,002710,002990,010600,010820,011690,004830,003550,000100,000150,018670,006650,033240,009580,012170,033530,009180,007120
90,002350,017390,003230,014680,015230,005720,005960,001440,010600,003550,018670,006650,033240,012170,009180,007120,006400,004020,000210,016380,019170,003240,001530,004690,004980,002170,035000,005430,000300,018500
91,002350,017390,003230,015230,005960,001440,003550,018670,033240,009180,007120,006400,000210,016380,019170,003240,001530,004690,004980,005430,000300,018500,015760,001800,006360,004710,005010,004360,009270,017040
92,002350,017390,015230,005960,003550,009180,007120,006400,019170,003240,004690,005430,000300,018500,015760,001800,004710,005010,010950,030000,001230,007460,006650,005950,029530,005720,004250,008700,002170,002450
93,002350,017390,015230,005960,003550,006400,019170,000300,018500,015760,001800,004710,005010,010950,001230,007460,029530,005720,004250,008700,002170,011200,001570,005610,003030,033180,025620,000430,001520,014530
94,002350,017390,005960,006400,019170,000300,018500,001800,005010,010950,001230,007460,005720,004250,008700,002170,003030,025620,000430,001520,014530,030200,001440,018670,006650,003240,033240,007690,010820,035000
95,017390,005960,000300,001800,005010,001230,007460,005720,004250,008700,002170,003030,000430,001440,018670,003240,033240,010820,004020,014680,017800,003230,009450,029530,009160,004360,014280,000390,011690,009180
96,005960,000300,001800,001230,005720,004250,008700,002170,000430,018670,003240,033240,010820,004020,014680,017800,003230,009160,004360,014280,003550,030200,002710,001530,025620,001520,016580,014530,035000,018500
97,005960,001800,001230,005720,008700,000430,018670,003240,033240,010820,004020,017800,003230,009160,014280,002710,025620,001520,016580,014530,018500,012630,009450,004690,004430,029530,007570,005010,000390,011690
98,005960,001800,001230,008700,000430,003240,017800,003230,014280,002710,025620,016580,014530,018500,012630,009450,004430,029530,007570,005010,011690,010130,004990,000880,001440,007460,005740,025860,002990,009180
99,005960,001230,008700,003240,017800,003230,014280,016580,004430,029530,005010,011690,004990,001440,007460,005740,025860,002990,009180,015760,003490,006740,005610,003030,033240,004690,009160,003200,009580,005680
100,001230,008700,003230,016580,004430,005010,011690,004990,001440,007460,005740,009180,015760,003490,006740,005610,003030,009160,003200,009580,010130,009450,033180,004710,007690,001520,010580,004980,007160,010820
101,001230,016580,005010,004990,001440,005740,003490,005610,003030,003200,009580,010130,033180,004710,001520,010580,007160,010820,006400,001800,002380,001740,000480,004690,005950,025860,000430,011300,002170,009470
102,005010,004990,005740,003490,003030,010130,033180,004710,007160,010820,006400,001800,002380,004690,005950,025860,000430,002170,009470,015760,012630,003230,020000,007690,017390,011330,005680,011690,004080,006370
103,005010,004990,005740,003490,003030,004710,007160,010820,006400,001800,002380,004690,005950,025860,000430,002170,012630,007690,017390,011330,011690,004080,000270,002030,004430,010580,000390,008700,009180,000520
104,004990,003490,003030,006400,001800,002380,005950,000430,002170,012630,007690,017390,011330,011690,004080,000270,002030,004430,009180,010130,014680,018670,001230,007570,009160,009810,003200,002390,010100,017900
