,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
46,015890,012750,002840,035000,001060,002100,011200,009290,003220,010580,007210,000520,002460,000120,002810,010100,004830,000670,028050,017940,001790,004170,000880,007340,029460,002240,005740,004560,024900,007120
47,015890,012750,035000,001060,002100,011200,003220,010580,007210,000520,002460,000120,002810,010100,004830,000670,028050,017940,001790,004170,000880,029460,002240,004560,007570,000490,012320,016590,006060,001080
48,012750,035000,001060,002100,011200,003220,007210,000520,002460,000120,002810,010100,000670,028050,017940,001790,004170,000880,029460,002240,004560,007570,016590,006060,001080,009150,000860,025000,002390,009270
49,012750,035000,001060,011200,003220,002460,000120,002810,010100,000670,028050,017940,001790,004170,000880,029460,002240,007570,016590,006060,001080,009150,025000,002390,005610,000640,005950,033920,036580,002700
50,012750,035000,001060,011200,003220,002460,000120,010100,028050,017940,001790,004170,029460,002240,007570,006060,001080,009150,025000,002390,005950,036580,005380,035720,026960,025860,005390,012320,015890,004560
51,012750,001060,010100,028050,017940,004170,029460,002240,007570,006060,001080,009150,025000,005950,005380,026960,025860,005390,015890,004560,007700,001440,005610,003300,000230,003570,000860,016590,009270,000300
52,004170,002240,007570,006060,001080,025000,005950,026960,025860,015890,007700,005610,003300,000230,003570,016590,009270,000300,000120,002990,029530,002320,000490,001130,004250,010820,033920,000180,002700,004540
53,004170,007570,005950,026960,007700,005610,003300,000230,009270,000300,029530,002320,004250,000180,004540,035720,015760,011200,006120,001440,007340,011930,010690,001250,004560,007210,000040,009470,004140,008870
54,004170,007570,005950,026960,007700,000230,009270,000300,029530,002320,004250,004540,035720,015760,006120,007340,011930,001250,004560,004140,002790,000640,003850,003000,004710,013570,016590,014580,010820,010040
55,004170,007570,005950,026960,007700,000230,009270,000300,002320,004540,035720,015760,006120,001250,004560,004140,000640,016590,014580,010820,005420,001060,001390,005390,002020,000860,001130,014790,001080,006370
56,004170,007570,026960,000230,009270,000300,002320,004540,035720,015760,006120,004560,004140,000640,016590,014580,010820,001390,000860,002790,000990,004000,001440,005610,003000,029530,005720,011280,010040,009470
57,004170,007570,000230,009270,000300,002320,004540,035720,015760,006120,004560,016590,010820,001390,000860,002790,004000,001440,005610,003000,011280,009470,007700,005300,003850,007340,002990,005390,000490,003720
58,004170,007570,015760,006120,004560,001390,002790,001440,005610,005300,003850,005390,000490,006400,021240,003090,034120,004710,024720,001340,003570,006840,009580,014580,007210,014790,011690,013580,010040,008870
59,004170,007570,015760,006120,004560,001390,002790,001440,005610,005300,003850,000490,021240,003090,004710,024720,003570,009580,014580,007210,014790,011690,013580,004000,001230,009680,009810,005680,004720,004140
60,006120,001390,002790,001440,005610,005300,000490,021240,024720,003570,009580,014580,007210,011690,013580,004000,001230,009680,009810,005680,004720,004140,011170,007340,001470,034120,007690,006840,010040,008870
61,006120,001390,002790,001440,005610,000490,021240,024720,003570,007210,011690,013580,004000,009680,004720,004140,011170,007340,001470,034120,010040,008870,015760,007700,003850,029530,007570,033530,014790,011700
62,006120,002790,021240,024720,003570,007210,011690,013580,004000,009680,004720,011170,007340,001470,034120,008870,015760,007700,003850,029530,007570,033530,014790,011790,001230,025860,001340,012320,009810,009580
63,006120,002790,021240,024720,003570,007210,011690,013580,009680,004720,011170,034120,008870,015760,003850,007570,033530,014790,011790,025860,001340,009810,009580,023590,005440,007690,006840,010600,004080,010040
64,002790,021240,003570,007210,011690,013580,009680,004720,011170,034120,008870,003850,007570,033530,011790,025860,007690,006840,010600,005420,005610,001230,000670,007340,008060,001470,000020,012320,033920,005430
65,021240,003570,007210,011690,013580,009680,011170,034120,008870,003850,033530,011790,025860,007690,006840,005610,001230,000670,007340,000020,033920,000990,005440,004690,003580,001820,005010,009810,001380,014790
66,021240,003570,007210,013580,009680,011170,034120,008870,033530,011790,025860,006840,005610,001230,000670,007340,000020,033920,005440,001820,009810,014790,005380,004990,004800,008060,010580,009190,004540,002600
67,021240,003570,007210,009680,008870,033530,011790,025860,006840,005610,001230,000670,007340,000020,033920,005440,001820,009810,004990,004800,009190,004540,002600,026960,002310,004700,007570,003960,003160,001380
68,021240,007210,009680,008870,033530,025860,006840,005610,001230,000020,033920,005440,001820,004990,004800,009190,004540,002600,002310,004700,003960,003160,012750,006040,002710,003030,005740,004360,011700,013580
69,021240,007210,009680,008870,033530,025860,006840,005610,033920,005440,001820,004990,004800,009190,004540,002600,002310,003160,006040,005740,011700,013580,006400,011790,008770,006280,001680,000680,007570,001360
70,021240,009680,008870,033530,025860,005610,005440,001820,004990,009190,004540,002310,003160,005740,011700,013580,008770,006280,001680,000680,005930,010060,026960,002710,001120,003850,004700,003960,001380,024900
71,021240,008870,025860,005610,005440,001820,004990,009190,004540,002310,003160,005740,011700,013580,006280,001680,000680,005930,010060,026960,001120,003850,004700,001380,010120,026890,002990,001360,002600,007980
72,008870,025860,005610,005440,001820,004990,009190,004540,002310,003160,005740,013580,006280,000680,005930,026960,001120,003850,004700,001380,010120,026890,002990,001360,007980,000430,012320,004360,033530,006370
73,008870,025860,005610,001820,004990,009190,002310,003160,013580,006280,000680,005930,001120,003850,004700,001380,010120,026890,002990,001360,004360,033530,006370,004020,010060,023590,005950,007810,011760,024900
74,008870,025860,005610,001820,009190,002310,003160,013580,006280,000680,001120,003850,001380,002990,001360,004360,033530,006370,010060,023590,005950,007810,011760,024900,021240,005300,033920,003650,009470,007980
75,008870,005610,009190,013580,000680,001120,001380,001360,004360,033530,006370,010060,007810,024900,005300,033920,003650,009470,007980,015760,004020,003410,011780,007700,036460,001440,026890,004700,004980,036580
76,008870,005610,009190,000680,001380,001360,004360,033530,006370,010060,024900,005300,033920,003650,009470,015760,003410,011780,007700,036460,001440,026890,004700,004980,036580,005950,001820,002990,017550,002450
77,005610,009190,001380,001360,004360,006370,010060,024900,005300,033920,003650,003410,011780,007700,036460,026890,004700,004980,036580,005950,017550,002450,017670,000230,004710,017810,011760,005390,003960,009580
78,005610,001380,006370,010060,024900,005300,003650,003410,011780,007700,036460,026890,004980,036580,005950,017550,002450,000230,004710,017810,005390,009580,015760,010120,001440,003850,023590,003160,011300,009470
